IP:PORT, LOSS, DELAY
162.159.195.252:3138,0.00%,148 ms
162.159.195.103:3138,0.00%,148 ms
162.159.192.159:5279,0.00%,149 ms
162.159.192.159:3138,0.00%,149 ms
162.159.192.210:5279,0.00%,149 ms
162.159.195.95:5279,0.00%,149 ms
162.159.195.95:3138,0.00%,149 ms
162.159.195.63:3138,0.00%,149 ms
162.159.192.138:5279,0.00%,149 ms
162.159.192.73:5279,0.00%,150 ms
162.159.192.230:5279,0.00%,151 ms
162.159.192.210:3138,0.00%,152 ms
162.159.192.139:5279,0.00%,154 ms
162.159.195.63:5279,0.00%,154 ms
162.159.192.147:3138,0.00%,157 ms
162.159.192.138:3138,0.00%,158 ms
162.159.195.103:5279,0.00%,158 ms
162.159.192.147:5279,0.00%,158 ms
162.159.192.139:3138,0.00%,158 ms
162.159.192.230:3138,0.00%,158 ms
162.159.195.158:3138,0.00%,159 ms
162.159.195.17:5279,0.00%,160 ms
162.159.192.111:3138,0.00%,160 ms
162.159.192.73:3138,0.00%,163 ms
162.159.195.17:3138,0.00%,164 ms
162.159.195.252:5279,0.00%,164 ms
162.159.195.198:5279,0.00%,164 ms
162.159.195.158:5279,0.00%,170 ms
162.159.195.145:3138,0.00%,175 ms
162.159.195.105:3138,0.00%,176 ms
162.159.195.116:5279,0.00%,176 ms
162.159.195.45:5279,0.00%,177 ms
162.159.195.198:3138,0.00%,177 ms
162.159.195.45:3138,0.00%,178 ms
162.159.192.145:3138,0.00%,178 ms
162.159.192.109:5279,0.00%,178 ms
162.159.195.105:5279,0.00%,181 ms
162.159.195.145:5279,0.00%,181 ms
162.159.192.132:3138,0.00%,186 ms
162.159.195.116:3138,0.00%,187 ms
162.159.192.109:3138,0.00%,188 ms
162.159.195.8:5279,0.00%,188 ms
162.159.195.96:5279,0.00%,188 ms
162.159.192.145:5279,0.00%,191 ms
162.159.192.132:5279,0.00%,193 ms
188.114.99.29:3138,0.00%,193 ms
188.114.97.225:5279,0.00%,193 ms
188.114.98.151:5279,0.00%,194 ms
188.114.99.6:5279,0.00%,194 ms
188.114.97.225:3138,0.00%,194 ms
188.114.96.38:3138,0.00%,195 ms
188.114.99.71:5279,0.00%,195 ms
188.114.99.29:5279,0.00%,195 ms
188.114.98.19:5279,0.00%,196 ms
188.114.96.153:5279,0.00%,196 ms
188.114.96.67:3138,0.00%,196 ms
188.114.96.153:3138,0.00%,196 ms
188.114.96.198:5279,0.00%,197 ms
188.114.98.32:3138,0.00%,197 ms
188.114.97.227:5279,0.00%,199 ms
188.114.98.75:3138,0.00%,200 ms
188.114.97.172:3138,0.00%,203 ms
162.159.195.8:3138,0.00%,203 ms
188.114.99.154:3138,0.00%,212 ms
188.114.99.114:5279,0.00%,213 ms
188.114.97.227:3138,0.00%,213 ms
188.114.98.100:5279,0.00%,213 ms
188.114.97.241:3138,0.00%,214 ms
188.114.99.60:3138,0.00%,214 ms
188.114.97.182:5279,0.00%,214 ms
188.114.99.71:3138,0.00%,214 ms
188.114.97.41:5279,0.00%,215 ms
188.114.99.175:5279,0.00%,215 ms
188.114.96.167:3138,0.00%,215 ms
188.114.99.60:5279,0.00%,215 ms
188.114.99.154:5279,0.00%,215 ms
188.114.97.182:3138,0.00%,215 ms
188.114.97.149:5279,0.00%,216 ms
188.114.98.100:3138,0.00%,216 ms
188.114.96.193:3138,0.00%,216 ms
188.114.97.172:5279,0.00%,216 ms
188.114.98.82:3138,0.00%,216 ms
188.114.99.65:3138,0.00%,216 ms
188.114.98.0:3138,0.00%,217 ms
188.114.99.6:3138,0.00%,217 ms
188.114.98.19:3138,0.00%,217 ms
188.114.98.160:5279,0.00%,217 ms
188.114.99.114:3138,0.00%,218 ms
188.114.98.32:5279,0.00%,218 ms
188.114.98.115:3138,0.00%,219 ms
188.114.97.205:5279,0.00%,219 ms
188.114.96.38:5279,0.00%,219 ms
188.114.96.167:5279,0.00%,219 ms
188.114.97.205:3138,0.00%,219 ms
188.114.96.218:3138,0.00%,219 ms
188.114.98.151:3138,0.00%,220 ms
188.114.97.251:3138,0.00%,220 ms
188.114.97.251:5279,0.00%,220 ms
188.114.97.141:3138,0.00%,220 ms
188.114.99.175:3138,0.00%,220 ms
188.114.98.45:5279,0.00%,221 ms
188.114.99.8:3138,0.00%,221 ms
188.114.96.193:5279,0.00%,221 ms
188.114.98.0:5279,0.00%,221 ms
188.114.96.198:3138,0.00%,221 ms
188.114.99.65:5279,0.00%,222 ms
188.114.96.36:3138,0.00%,232 ms
188.114.97.122:3138,0.00%,233 ms
188.114.96.35:5279,0.00%,233 ms
188.114.98.115:5279,0.00%,233 ms
188.114.96.71:3138,0.00%,233 ms
